Subject,Message,Label,OriginalRowID,Date
Accident report and claim initiation,"Hello,
Small collision on the M50, lane 2. I braked and the van behind clipped my bumper. Gardaí attended. Claim under PCY-850-529838. Should I go to Northside Garage or wait for an approved repairer list? why am I paying for this
Dashcam clip uploaded to Drive (link upon request).

Cheers,
Noah Doyle
+353 81 518 7898
noahdoyle518@outlook.com",CarCrash,e763d096,
Cracked windscreen – repair or replace?,"To whom it may concern,
Windscreen wiper left a deep scratch after some grit got stuck. Looking to replace ASAP. What’s the process and preferred suppliers? Policy PCY-245-585705. thanks in advance
Attaching a PDF of the report.

Many thanks,
Michael Kavanagh
+353 88 448 9049
michaelkavanagh804@example.com",CarWindshield,4e6457f1,
Glass crack across driver side – urgent,"Good afternoon,
Overnight frost made a chip spread—now about 20cm. Is glass repair exempt from the no‑claims penalty on PCY-176-656754? Can I pay just the excess? thanks in advance
No attachments yet—can send if needed.

Regards,
Ava Duffy
+353 84 886 6468
avaduffy326@gmail.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.

(Also, sorry for the long email—bit stressed.)",CarWindshield,faacce7a,
Policy renewal questions,"Hi GreenShield Support,
Got the renewal email but the premium is up 18%. Any discounts for no claims (5 years) or for installing a dashcam? Policy PCY-641-302954. kind regards

Thanks,
Isla Byrne
+353 82 131 1763
islabyrne984@proton.me",CarRenewal,b42d7223,
Renewal due – change car details,"Good morning,
I’m changing cars next month (new reg 23-MN-84218). Can I update the details now so the renewal is accurate? Also adding my partner as a named driver. Policy PCY-300-515633. this is ridiculous

Many thanks,
Patrick Ryan

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarRenewal,1a9d079d,
Query about documents,"Good afternoon,
Random question: how long do I have to report an incident? Policy PCY-365-926658. Thanks.

Best,
Emily Ryan
+353 86 389 1866
emilyryan50@proton.me

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",Other,5cfdd7e4,
Policy renewal questions,"Good afternoon,
Renewal due on 24. Could you send me the documents in PDF and explain options for monthly vs annual? Policy PCY-666-723214. kind regards

Best,
Harry Murphy",CarRenewal,66309c87,
Windscreen damage after storm,"Hi SafeDrive Support,
Windscreen wiper left a deep scratch after some grit got stuck. Looking to replace ASAP. What’s the process and preferred suppliers? Policy PCY-726-512584. kind regards
Photos attached.

Regards,
Conor Kavanagh
+353 89 703 5007
conorkavanagh772@example.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarWindshield,c5e487b6,
Breakdown this morning – tow arranged?,"Hey there,
My car cut out at a roundabout in Waterford and won’t restart. Hazard lights on. Do I have roadside assist with policy PCY-175-875802? If yes, can you arrange a tow to Northside Garage? happy to provide more info
No attachments.

Regards,
Aoife Byrne
+353 83 544 1137
aoifebyrne380@gmail.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarBreakdown,a7583d08,
Add a new driver for renewal,"Hey there, Renwal due on 19. Could you send me the documents in PDF and explain options for monthly vs annal? Policy PCY-537-661174. happy to provide more info Cheers, Ciara Kelly

(Also, sorry for the long email—bit stressed.)",CarRenewal,df800d55,
Stranded on hard shoulder – breakdown cover,"Good morning,
Engine overheated, steam from bonnet. I pulled over safely on the hard shoulder. What’s covered under PCY-764-998951 for breakdowns? please let me know
Reg 16-KK-70985.
Scans can be provided.

Many thanks,
Isla Byrne
+353 87 256 5757
islabyrne870@gmail.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.

(Also, sorry for the long email—bit stressed.)",CarBreakdown,f0d1ee0d,
Stone chip spreading fast – claim,"Hello,
Overnight frost made a chip spread—now about 20cm. Is glass repair exempt from the no‑claims penalty on PCY-506-323114? Can I pay just the excess? please sort this
Screenshot included below.

Regards,
James Kelly
+353 87 129 8299
jameskelly618@example.com

(Also, sorry for the long email—bit stressed.)",CarWindshield,0902ff87,
Car stolen last night – claim help?,"To whom it may concern,
Came out this morning and the car was just gone. 21-G-84521. Spare key with me. I called 999 and got a case number. Can you guide me on the theft claim steps under PCY-694-200219? Also, do I still owe the excess if the car isn’t found? why am I paying for this
Screenshot included below.

Best,
James Brown
+353 83 239 2785
jamesbrown160@gmail.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.

(Also, sorry for the long email—bit stressed.)",CarTheft,af88a58a,
Collision today on N7 – what do I do?,"Good morning,
I was rear‑ended at a red light in Wexford today (19 Oct 2023 12:55), airbags deployed. Other driver admitted fault. Exchange done. My reg 23-C-95712, policy PCY-650-789247. What’s the fastest way to get the car assessed? please let me know
Attaching a PDF of the report.

Many thanks,
Lucas McCarthy
+353 82 570 4031
lucasmccarthy836@outlook.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarCrash,f2488333,
General question about my policy,"Hi team, Where do I odwnload my cert of insuurance and disc for reg 16-KK-21360? I can’t fiind the ilnk on the protal. thanks in advance Best, Harry Wlson +353 83 448 3480 harrywilson350@proton.me",Other,08ef0d6d,
General question about my policy,"Hi GreenShield Support,
I just need to check what’s included in my policy PCY-550-726253. Does it cover driving other cars, or windscreen chips? really appreciate your help

Regards,
Aoife Doyle
+353 85 104 1360
aoifedoyle300@outlook.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",Other,ebea5adb,
Add a new driver for renewal,"Hi team, I’m chanigng cars next omnth (nw reg 15-G-6826). Can I update the details now so the renewal is accurate? Also adding my partner as a named driver. Policy PCY-559-137752. I've been on hold forever Sincerely, Ciara O'Neill +353 84 229 8250 ciaraoneill952@proton.me",CarRenewal,c5e1450d,
"Minor crash, no injuries – claim query","Hey there,
Small collision on the M50, lane 2. I braked and the van behind clipped my bumper. Gardaí attended. Claim under PCY-678-627953. Should I go to N7 Auto or wait for an approved repairer list? happy to provide more info
Attaching a PDF of the report.

Best,
Emma Walsh",CarCrash,51b8bff0,
"Minor crash, no injuries – claim query","To whom it may concern,
Accident at low speed leaving a car park. I scraped another car. I’ve photos and their details. Do I need to notify you even if we settle privately? My policy is PCY-822-871957, reg 10-MN-18255. thanks in advance
No attachments yet—can send if needed.

Cheers,
Aoife Hughes

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarCrash,d9005963,
Car stolen last night – claim help?,"To whom it may concern,
Came out this morning and the car was just gone. 21-KK-18779. Spare key with me. I called 999 and got a case number. Can you guide me on the theft claim steps under PCY-418-844037? Also, do I still owe the excess if the car isn’t found? this is ridiculous
Attaching a PDF of the report.

Sincerely,
Ciara O'Neill
+353 81 797 1500
ciaraoneill248@yahoo.com",CarTheft,c99f788f,
Stone chip spreading fast – claim,"Hi SafeDrive Support,
A stone hit my windscreen on the N4 and now there’s a crack across the driver’s side. Can I book directly with GlassFix or do I need pre‑approval under policy PCY-392-210905? really appreciate your help
Reg 19-WX-34393.
Photos attached.

Thanks,
Mia Hayes",CarWindshield,6cde768f,
Engine died at junction – policy help,"Hi team,
Engine overheated, steam from bonnet. I pulled over safely on the hard shoulder. What’s covered under PCY-968-322173 for breakdowns? kind regards
Reg 08-CW-71542.
Scans can be provided.

Many thanks,
Ava O'Neill
+353 81 933 1253
avaoneill324@outlook.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.

(Also, sorry for the long email—bit stressed.)",CarBreakdown,61cac591,
Cracked windscreen – repair or replace?,"Good afternoon,
A stone hit my windscreen on the N4 and now there’s a crack across the driver’s side. Can I book directly with AutoGlass Hub or do I need pre‑approval under policy PCY-161-573014? please let me know
Reg 17-WX-92423.
Dashcam clip uploaded to Drive (link upon request).

Many thanks,
Niamh Hughes
+353 81 617 6508
niamhhughes651@gmail.com",CarWindshield,aaf49ac8,
Renewal price seems high – options?,"Good morning,
I’m changing cars next month (new reg 07-LM-88236). Can I update the details now so the renewal is accurate? Also adding my partner as a named driver. Policy PCY-431-198321. kind regards

Many thanks,
Emma Fitzgerald
+353 87 356 7312
emmafitzgerald98@outlook.com",CarRenewal,54abd8dc,
Breakdown this morning – tow arranged?,"Hi QuickCover Support,
Battery seems dead (no dash lights). I’m at 24 Main St, Naas. Can someone jump‑start or tow me? Reg 17-LS-33121, policy PCY-815-404927. Also, is there a call‑out limit? honestly not impressed
No attachments.

Many thanks,
Michael Kennedy
+353 82 602 9283
michaelkennedy840@example.com

(Also, sorry for the long email—bit stressed.)",CarBreakdown,2fc0d19e,
Cracked windscreen – repair or replace?,"Hi team,
A stone hit my windscreen on the N4 and now there’s a crack across the driver’s side. Can I book directly with GlassFix or do I need pre‑approval under policy PCY-136-914044? happy to provide more info
Reg 16-G-60851.
Screenshot included below.

Best,
Noah Gallagher",CarWindshield,f9cf5131,
Glass crack across driver side – urgent,"Hey there, Overnight frost made a chip spread—now aobut 2cm. Is glass repair exempt from the on‑claims penalty on PCY-500-731046? Can I pay just the excess? this is ridiculous Phots attached. Many thanks, Ilsa Duffy",CarWindshield,147f0953,
